거래내역조회
계좌번호:,000-000-000-00,,,,,,출력일자:,2026년08월27일
계좌명:,홍길동
,,,,,,,,,
거래일자,거래종류,수량,거래금액,정산금액,거래세 등,소득세,양도세,대출금,유가잔고
,종목명,단가,수수료,펀드가입번호/신탁보수,농특세/부가세,지방소득세,과세기준가,신용/대출이자,예수금
2026/06/01,전자금융입금,,"20,000,000","20,000,000",0,0,0,0,
,,,0,,0,0,0.00,0,"20,000,000"
2026/06/02,현금매수,10,"3,605,000","3,605,541",0,0,0,0,"3,605,000"
,삼성전자,"360,500",541,,0,0,0.00,0,"16,394,459"
2026/06/16,현금매수,50,"2,022,500","2,022,803",0,0,0,0,"5,627,500"
,카카오,"40,450",303,,0,0,0.00,0,"14,371,656"
2026/06/23,현금매수,10,"3,100,000","3,100,465",0,0,0,0,"8,727,500"
,삼성전자,"310,000",465,,0,0,0.00,0,"11,271,191"
2026/07/02,현금매수,30,"372,000","372,056",0,0,0,0,"9,099,500"
,가나다반도체,"12,400",56,,0,0,0.00,0,"10,899,135"
2026/07/09,현금매수,50,"1,682,500","1,682,752",0,0,0,0,"10,782,000"
,카카오,"33,650",252,,0,0,0.00,0,"9,216,383"
2026/07/15,배당금,,"25,000","25,000",0,0,0,0,"10,782,000"
,삼성전자,,0,,0,0,0.00,0,"9,241,383"
2026/07/28,현금매도,12,"2,640,000","2,634,852","3,960",0,0,0,"8,142,000"
,삼성전자,"220,000",396,,792,0,0.00,0,"11,876,235"
2026/08/04,현금매수,4,"906,000","906,136",0,0,0,0,"9,048,000"
,NAVER,"226,500",136,,0,0,0.00,0,"10,970,099"
2026/08/11,현금매도,100,"4,070,000","4,062,064","6,105",0,0,0,"4,978,000"
,카카오,"40,700",610,,"1,221",0,0.00,0,"15,032,163"
2026/08/12,현금매도,4,"862,000","860,319","1,293",0,0,0,"4,116,000"
,NAVER,"215,500",129,,259,0,0.00,0,"15,892,482"
2026/08/13,현금매도,8,"2,144,000","2,139,819","3,216",0,0,0,"1,972,000"
,삼성전자,"268,000",322,,643,0,0.00,0,"18,032,301"
2026/08/20,전자금융출금,,"10,000,000","10,000,000",0,0,0,0,"1,972,000"
,,,0,,0,0,0.00,0,"8,032,301"
정상적으로 조회되었습니다.
,,,,,,,,,
